id,title,category,reference_description,source_type
141,Подготовка исполнительной схемы,организационные,Организовать подготовку исполнительной схемы по завершенному участку работ.,simulated
142,Проверка журналов работ,организационные,Проверить заполнение журналов работ и отметить недостающие записи для корректировки.,simulated
143,Согласование окна поставки,организационные,Согласовать временное окно поставки с участниками работ и службой доступа.,simulated
144,Разбор отклонений по срокам,организационные,Провести разбор отклонений по срокам и определить корректирующие действия.,simulated
145,Подготовка акта приемки,организационные,Подготовить акт приемки выполненного этапа и передать его на подписание.,simulated
146,Передача фронта работ,организационные,Оформить передачу фронта работ следующей бригаде с фиксацией состояния участка.,simulated
147,Уточнение состава бригады,организационные,Проверить состав бригады на смену и согласовать замену отсутствующих исполнителей.,simulated
148,Проверка разрешительной документации,организационные,Проверить наличие разрешительной документации перед началом ответственного этапа.,simulated
149,Сверка факта с графиком,организационные,Сверить фактическое выполнение задач с графиком и обновить план ближайших работ.,simulated
150,Закрытие этапа работ,организационные,Проверить готовность этапа к закрытию и зафиксировать результат в рабочей документации.,simulated
